2018,Boston Red Sox
2017,Houston Astros
2016,Chicago Cubs
2015,Kansas City Royals
2014,San Francisco Giants
2013,Boston Red Sox
2012,San Francisco Giants
2011,St. Louis Cardinals
2010,San Francisco Giants
2009,New York Yankees
2008,Philadelphia Phillies
2007,Boston Red Sox
2006,St. Louis Cardinals
2005,Chicago White Sox
2004,Boston Red Sox
2003,Florida Marlins
2002,Anaheim Angels
2001,Arizona Diamondbacks
2000,New York Yankees
1999,New York Yankees
1998,New York Yankees
1997,Florida Marlins
1996,New York Yankees
1995,Atlanta Braves
1993,Toronto Blue Jays
1992,Toronto Blue Jays
1991,Minnesota Twins
1990,Cincinnati Reds
1989,Oakland Athletics
1988,Los Angeles Dodgers
1987,Minnesota Twins
1986,New York Mets
1985,Kansas City Royals
1984,Detroit Tigers
1983,Baltimore Orioles
1982,St. Louis Cardinals
1981,Los Angeles Dodgers
1980,Philadelphia Phillies
1979,Pittsburgh Pirates
1978,New York Yankees
1977,New York Yankees
1976,Cincinnati Reds
1975,Cincinnati Reds
1974,Oakland Athletics
1973,Oakland Athletics
1972,Oakland Athletics
1971,Pittsburgh Pirates
1970,Baltimore Orioles
1969,New York Mets
1968,Detroit Tigers
1967,St. Louis Cardinals
1966,Baltimore Orioles
1965,Los Angeles Dodgers
1964,St. Louis Cardinals
1963,Los Angeles Dodgers
1962,New York Yankees
1961,New York Yankees
1960,Pittsburgh Pirates
1959,Los Angeles Dodgers
1958,New York Yankees
1957,Milwaukee Braves
1956,New York Yankees
1955,Brooklyn Dodgers
1954,New York Giants
1953,New York Yankees
1952,New York Yankees
1951,New York Yankees
1950,New York Yankees
1949,New York Yankees
1948,Cleveland Indians
1947,New York Yankees
1946,St. Louis Cardinals
1945,Detroit Tigers
1944,St. Louis Cardinals
1943,New York Yankees
1942,St. Louis Cardinals
1941,New York Yankees
1940,Cincinnati Reds
1939,New York Yankees
1938,New York Yankees
1937,New York Yankees
1936,New York Yankees
1935,Detroit Tigers
1934,St. Louis Cardinals
1933,New York Giants
1932,New York Yankees
1931,St. Louis Cardinals
1930,Philadelphia Athletics
1929,Philadelphia Athletics
1928,New York Yankees
1927,New York Yankees
1926,St. Louis Cardinals
1925,Pittsburgh Pirates
1924,Washington Senators
1923,New York Yankees
1922,New York Giants
1921,New York Giants
1920,Cleveland Indians
1919,Cincinnati Reds
1918,Boston Red Sox
1917,Chicago White Sox
1916,Boston Red Sox
1915,Boston Red Sox
1914,Boston Braves
1913,Philadelphia Athletics
1912,Boston Red Sox
1911,Philadelphia Athletics
1910,Philadelphia Athletics
1909,Pittsburgh Pirates
1908,Chicago Cubs
1907,Chicago Cubs
1906,Chicago White Sox
1905,New York Giants
1903,Boston Americans
